"Programming Experience","R Experience","GitHub Experience"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I regularly work with R","I already have a GitHub account and use it regularly"
"I have no programming experience","I have used R randomly over the past years","I have never used GitHub"
"I (quite) regularly use programming","I have never used R","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have never used GitHub"
"I have no programming experience","I have used R randomly over the past years","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have never used GitHub"
"I have no programming experience","I have used R randomly over the past years","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have a GitHub account but have rarely used it"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have a GitHub account but have rarely used it"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have a GitHub account but have rarely used it"
"I have no programming experience","I have never used R","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have a GitHub account but have rarely used it"
"I (quite) regularly use programming","I have used R randomly over the past years","I already have a GitHub account and use it regularly"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have a GitHub account but have rarely used it"
"I (quite) regularly use programming","I have never used R","I have a GitHub account but have rarely used it"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have never used GitHub"
"I have no programming experience","I have never used R","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have never used GitHub"
"I (quite) regularly use programming","I regularly work with R","I have never used GitHub"
"I (quite) regularly use programming","I have used R randomly over the past years","I already have a GitHub account and use it regularly"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have a GitHub account but have rarely used it"
"I have no programming experience","I have used R randomly over the past years","I have never used GitHub"
"I have had some programming experience (therefore I know some basics)","I have used R randomly over the past years","I have a GitHub account but have rarely used it"
"I (quite) regularly use programming","I regularly work with R","I have a GitHub account but have rarey used it"
"I have had some programming experience (therefore I know some basics)","I have never used R","I have never used GitHub"
